ID,Punkt_ID_G4B,Erzeugen,Ändern,X-Koordinate,Y-Koordinate,Hoehe_Elips,available_Satelliten,Used_Satelliten,PDOP,Anz__Mitteln,Korrtyp
3,glma1,24.05.23 11:51,24.05.23 11:52,2731097.561,1203398.005,912.051,18,7,2.5,0,100.00% FloatRTK
4,glma2,24.05.23 14:43,24.05.23 14:44,2732303.312,1201802.413,1012.917,20,13,1.52,0,100.00% AutonomousGPS
5,luwe1,25.05.23 09:45,25.05.23 09:46,2675696.811,1211391.229,665.873,18,9,2.09,0,100.00% FloatRTK
6,lugr4,25.05.23 12:58,25.05.23 12:58,2676506.958,1212300.867,881.967,19,9,3.5,0,100.00% FloatRTK
7,lugr3,26.05.23 11:40,26.05.23 11:41,2676279.854,1212505.7,731.819,18,7,2.48,0,100.00% FloatRTK
8,lugr5,26.05.23 14:54,26.05.23 14:54,2676700.14,1211588.579,1061.984,20,10,2.9,0,100.00% FloatRTK
9,bebe3,30.05.23 12:29,30.05.23 12:30,2627022.753,1171573.785,1161.441,18,11,2.4,0,100.00% FloatRTK
10,bebe1,30.05.23 15:22,30.05.23 15:23,2627248.532,1171144.459,857.44,19,10,2.47,0,100.00% FloatRTK
12,bebe6,30.05.23 18:45,30.05.23 18:46,2625491.235,1171361.169,1294.014,20,8,2.6,0,100.00% FloatRTK
14,bebe5,31.05.23 09:51,31.05.23 09:51,2624437.742,1171475.723,1283.353,19,11,2.14,0,100.00% DiffGPS
15,bebe2,31.05.23 11:32,31.05.23 11:33,2626424.958,1170883.116,1082.14,17,7,2.6,0,100.00% FloatRTK
16,bebe4,31.05.23 13:55,31.05.23 13:55,2629796.694,1172503.13,1198.801,19,9,2.08,0,100.00% FloatRTK
18,begr47,05.06.23 12:35,05.06.23 12:36,2641546.713,1164909.821,951.723,17,9,2.17,0,100.00% FloatRTK
19,begr49,05.06.23 14:43,05.06.23 14:43,2641449.41,1165509.107,1044.098,17,9,3.8,0,100.00% FloatRTK
20,begr13,05.06.23 17:38,05.06.23 17:39,2640450.505,1164395.733,1185.74,19,9,4,0,100.00% FloatRTK
21,begr50,06.06.23 11:11,06.06.23 11:11,2643190.532,1165131.376,1126.887,17,13,1.4,0,100.00% AutonomousGPS
22,begr2,06.06.23 12:34,06.06.23 12:34,2645477.701,1163075.239,1014.324,18,12,1.74,0,100.00% AutonomousGPS
24,begr3,06.06.23 14:19,06.06.23 14:19,2644093.849,1163453.802,1029.041,19,9,2.8,0,100.00% FloatRTK
25,begr20,06.06.23 15:04,06.06.23 15:05,2644487.427,1165327.578,1359.087,19,12,2.1,0,100.00% FloatRTK
26,begr11,06.06.23 16:56,06.06.23 16:56,2640748.814,1164724.123,1060.682,16,6,3.7,0,100.00% FloatRTK
27,begr14,06.06.23 19:12,06.06.23 19:12,2642549.986,1163418.708,1325.552,19,12,1.73,0,100.00% FloatRTK
28,begr5,07.06.23 09:56,07.06.23 09:56,2645260.226,1162829.812,1041.735,18,6,3.5,0,100.00% FloatRTK
